GKZ,Name,Wahlberechtigte,abgegeben,gültig,ungültig,spoe,oevp,kpoe,gruene,fpoe,lh,bzoe,pf
G60101,Graz,180705,118162,116887,1275,38739,36283,16405,12472,6295,3095,2375,1223
G60201,Aflenz Kurort,827,661,654,7,209,238,30,34,68,69,6,0
G60202,Aflenz Land,1253,990,974,16,455,340,36,24,94,20,5,0
G60203,Breitenau am Hochlantsch,1685,1402,1384,18,800,435,44,16,68,10,11,0
G60204,Bruck an der Mur,10637,7703,7609,94,4601,1741,426,296,353,111,81,0
G60205,Etmißl,418,356,353,3,160,130,11,7,41,2,2,0
G60206,Frauenberg,137,138,135,3,34,80,2,4,13,2,0,0
G60207,Gußwerk,1212,1028,1018,10,704,245,28,15,19,2,5,0
G60208,Halltal,275,240,237,3,95,113,12,2,10,3,2,0
G60209,Kapfenberg,16705,11527,11429,98,7954,1847,640,235,485,121,147,0
G60210,Mariazell,1276,1017,1009,8,322,525,53,27,55,22,5,0
G60211,Oberaich,2338,1834,1816,18,995,575,64,65,63,33,21,0
G60212,Parschlug,1426,1151,1139,12,613,317,55,32,86,26,10,0
G60213,Pernegg an der Mur,1965,1702,1677,25,988,408,86,55,92,32,16,0
G60214,Sankt Ilgen,241,212,211,1,129,65,6,3,5,2,1,0
G60215,Sankt Katharein an der Laming,931,754,744,10,449,199,28,10,41,9,8,0
G60216,Sankt Lorenzen im Mürztal,2631,2019,1998,21,1093,547,94,67,150,27,20,0
G60217,Sankt Marein im Mürztal,1848,1440,1426,14,848,325,77,47,92,18,19,0
G60218,Sankt Sebastian,915,739,733,6,449,203,34,14,22,7,4,0
G60219,Thörl,1496,1229,1214,15,779,212,33,35,134,18,3,0
G60220,Tragöß,877,718,692,26,291,282,27,12,47,17,16,0
G60221,Turnau,1266,1022,1009,13,421,359,33,28,139,14,15,0
G60301,Aibl,1172,885,865,20,275,501,12,23,28,13,13,0
G60302,Deutschlandsberg,6358,4638,4559,79,2530,1306,238,211,121,73,80,0
G60303,Eibiswald,1165,890,876,14,333,417,30,31,22,19,24,0
G60305,Frauental an der Laßnitz,2333,1820,1798,22,1053,533,84,44,36,14,34,0
G60306,Freiland bei Deutschlandsberg,109,100,98,2,10,78,2,3,2,2,1,0
G60307,Bad Gams,1855,1379,1365,14,642,506,50,48,63,24,32,0
G60308,Garanas,232,210,207,3,36,154,3,3,8,2,1,0
G60309,Georgsberg,1139,953,929,24,216,578,44,18,36,18,19,0
G60310,Greisdorf,814,624,610,14,177,340,30,12,17,5,29,0
G60311,Gressenberg,265,218,216,2,60,123,5,0,18,3,7,0
G60312,Groß Sankt Florian,2309,1815,1773,42,652,877,70,46,68,28,32,0
G60313,Großradl,1154,880,867,13,326,450,27,12,32,7,13,0
G60314,Gundersdorf,319,256,251,5,65,134,13,1,23,3,12,0
G60315,Hollenegg,1772,1375,1340,35,647,482,44,37,67,26,37,0
G60316,Kloster,183,125,123,2,41,71,4,4,1,0,2,0
G60318,Lannach,2459,1856,1822,34,692,730,131,93,70,56,50,0
G60319,Limberg bei Wies,721,579,573,6,384,142,22,8,8,2,7,0
G60320,Marhof,851,675,658,17,318,254,27,13,20,15,11,0
G60321,Osterwitz,133,114,113,1,29,65,10,3,1,0,5,0
G60322,Pitschgau,1269,990,975,15,566,322,31,19,15,10,12,0
G60323,Pölfing-Brunn,1318,1054,1039,15,627,320,34,9,15,7,27,0
G60324,Preding,1298,989,972,17,453,360,41,34,46,17,21,0
G60325,Rassach,1073,885,864,21,254,481,36,22,28,22,21,0
