GKZ,Name,Wahlberechtigte,abgegeben,gültig,ungültig,spoe,oevp,fpoe,gruene,kpoe,bzoe,cpoe,puma
G60101,Graz,190694,104133,102723,1410,33119,29152,12673,13246,9879,3658,996,0
G60201,Aflenz Kurort,854,605,595,10,229,253,37,37,26,6,1,6
G60202,Aflenz Land,1250,897,883,14,377,332,85,32,32,17,1,7
G60203,Breitenau am Hochlantsch,1620,1199,1173,26,646,370,75,18,29,31,3,1
G60204,Bruck an der Mur,10510,6360,6275,85,3411,1323,742,269,303,135,28,64
G60205,Etmißl,440,351,347,4,168,121,37,6,8,6,1,0
G60206,Frauenberg,135,110,110,0,29,58,12,2,2,3,4,0
G60207,Gußwerk,1165,904,895,9,607,218,36,18,9,5,1,1
G60208,Halltal,285,217,212,5,91,91,16,2,6,6,0,0
G60209,Kapfenberg,16667,9412,9316,96,5518,1477,1278,260,498,200,42,43
G60210,Mariazell,1247,817,803,14,261,406,49,23,22,25,13,4
G60211,Oberaich,2469,1741,1719,22,831,532,173,67,45,54,7,10
G60212,Parschlug,1468,1033,1027,6,463,330,116,31,36,37,10,4
G60213,Pernegg an der Mur,2010,1490,1465,25,732,418,143,55,66,29,12,10
G60214,Sankt Ilgen,243,201,201,0,112,73,6,4,6,0,0,0
G60215,Sankt Katharein an der Laming,899,633,630,3,302,210,60,11,18,21,0,8
G60216,Sankt Lorenzen im Mürztal,2801,1786,1757,29,783,531,226,78,78,44,8,9
G60217,Sankt Marein im Mürztal,2067,1323,1300,23,670,276,205,46,70,30,2,1
G60218,Sankt Sebastian,896,602,594,8,368,171,16,13,13,7,3,3
G60219,Thörl,1453,1088,1078,10,678,213,108,19,35,15,6,4
G60220,Tragöß,874,636,628,8,237,243,90,17,17,18,1,5
G60221,Turnau,1328,874,863,11,376,321,94,18,30,16,5,3
G60301,Aibl,1194,754,743,11,208,400,76,8,10,26,15,0
G60302,Deutschlandsberg,6591,4056,3989,67,1984,1030,311,216,135,278,35,0
G60303,Eibiswald,1185,728,717,11,244,306,81,32,7,36,11,0
G60305,Frauental an der Laßnitz,2417,1669,1646,23,920,441,135,59,30,56,5,0
G60306,Freiland bei Deutschlandsberg,116,104,103,1,9,85,4,2,2,1,0,0
