GKZ,Name,Wahlberechtigte,abgegeben,gültig,ungültig,spoe,oevp,fpoe,gruene,kpoe,neos,frank,pirat
G60101,Graz,195847,110481,109415,1066,30806,25805,22243,14838,9151,4556,1116,900
G60305,Frauental an der Laßnitz,2363,1527,1501,26,767,282,319,60,21,32,20,0
G60318,Lannach,2739,1579,1566,13,426,477,462,79,64,32,26,0
G60323,Pölfing-Brunn,1391,870,856,14,299,245,250,26,21,9,6,0
G60324,Preding,1442,900,892,8,328,199,271,46,18,18,12,0
G60326,Sankt Josef (Weststeiermark),1191,868,857,11,241,303,201,51,28,21,12,0
G60329,Sankt Peter im Sulmtal,1113,693,684,9,143,254,225,19,12,16,15,0
G60341,Wettmannstätten,1278,833,825,8,206,294,258,31,7,12,17,0
G60344,Deutschlandsberg,9270,5289,5226,63,2022,1065,1332,354,256,108,89,0
G60345,Eibiswald,5531,3361,3300,61,816,1030,1163,119,46,57,69,0
G60346,Groß Sankt Florian,3490,2243,2211,32,577,806,617,88,35,36,52,0
G60347,Sankt Martin im Sulmtal,2601,1833,1806,27,429,608,616,62,25,29,37,0
G60348,Sankt Stefan ob Stainz,2990,1990,1973,17,423,651,706,77,45,27,44,0
G60349,Schwanberg,3843,2528,2488,40,704,623,861,148,58,52,42,0
G60350,Stainz,7046,4412,4353,59,985,1413,1382,269,118,101,85,0
G60351,Wies,3693,2354,2333,21,674,622,798,82,47,47,63,0
G60608,Feldkirchen bei Graz,4351,2380,2354,26,667,526,893,112,69,45,39,3
G60611,Gössendorf,3027,1933,1923,10,627,375,729,76,49,40,21,6
G60613,Gratkorn,6175,3494,3461,33,1257,527,1177,252,123,68,44,13
G60617,Hart bei Graz,3656,2244,2226,18,755,593,434,226,85,90,28,15
G60618,Haselsdorf-Tobelbad,1107,671,666,5,271,135,166,41,28,13,8,4
G60619,Hausmannstätten,2370,1498,1485,13,362,546,328,122,53,46,20,8
G60623,Kainbach bei Graz,2267,1254,1223,31,317,417,243,126,40,46,30,4
G60624,Kalsdorf bei Graz,4586,2414,2391,23,779,467,874,105,65,52,36,13
G60626,Kumberg,2989,1883,1869,14,387,635,426,173,59,113,65,11
G60628,Laßnitzhöhe,2203,1349,1337,12,336,469,248,158,48,51,20,7
G60629,Lieboch,3926,2217,2201,16,777,493,614,129,83,42,49,14
G60632,Peggau,1695,996,990,6,311,199,364,43,37,19,12,5
G60639,Sankt Bartholomä,1142,802,799,3,203,280,219,37,23,19,17,1
G60641,Sankt Oswald bei Plankenwarth,1036,684,677,7,259,187,156,31,18,12,10,4
G60642,Sankt Radegund bei Graz,1719,1016,1007,9,262,346,201,99,50,28,19,2
G60645,Semriach,2593,1763,1746,17,329,688,577,46,38,26,40,2
G60646,Stattegg,2250,1454,1442,12,342,508,267,172,74,48,14,17
