GKZ,Name,Wahlberechtigte,abgegeben,gültig,ungültig,spoe,oevp,fpoe,gruene,frank,neos,bzoe,kpoe,pirat,cpoe,wandl,slp,euaus,m
G10101,Eisenstadt,10407,7378,7229,149,1699,2421,1084,888,419,434,155,47,54,28,0,0,0,0
G10201,Rust,1554,1167,1146,21,454,254,237,69,73,34,17,3,3,2,0,0,0,0
G10301,Breitenbrunn am Neusiedler See,1586,1187,1164,23,455,254,171,113,64,50,35,9,9,4,0,0,0,0
G10302,Donnerskirchen,1458,1108,1089,19,332,384,172,75,63,30,23,3,5,2,0,0,0,0
G10303,Großhöflein,1655,1229,1202,27,379,347,192,95,94,46,42,4,3,0,0,0,0,0
G10304,Hornstein,2217,1576,1538,38,616,291,278,123,104,60,47,9,8,2,0,0,0,0
G10305,Klingenbach,909,704,695,9,354,164,92,20,38,9,11,4,1,2,0,0,0,0
G10306,Leithaprodersdorf,974,808,785,23,180,368,106,53,36,25,9,6,0,2,0,0,0,0
G10307,Mörbisch am See,1869,1432,1406,26,550,302,302,79,87,41,22,9,8,6,0,0,0,0
G10308,Müllendorf,1089,851,824,27,323,171,143,70,46,29,25,5,5,7,0,0,0,0
G10309,Neufeld an der Leitha,2449,1813,1771,42,757,205,398,142,121,61,60,12,15,0,0,0,0,0
G10310,Oggau am Neusiedler See,1515,1280,1238,42,501,369,208,51,53,30,15,5,2,4,0,0,0,0
G10311,Oslip,1039,862,846,16,365,257,83,62,41,20,6,8,1,3,0,0,0,0
G10312,Purbach am Neusiedler See,2302,1759,1726,33,537,516,326,136,94,62,39,6,9,1,0,0,0,0
G10313,Sankt Margarethen im Burgenland,2307,1790,1748,42,523,597,317,119,90,43,42,7,10,0,0,0,0,0
G10314,Schützen am Gebirge,1129,903,881,22,256,313,148,56,60,20,17,6,3,2,0,0,0,0
G10315,Siegendorf,2236,1735,1692,43,910,203,248,124,116,46,26,4,12,3,0,0,0,0
G10316,Steinbrunn,1931,1483,1456,27,644,252,243,99,98,67,31,11,11,0,0,0,0,0
G10317,Trausdorf an der Wulka,1576,1244,1221,23,520,268,179,95,69,38,31,9,8,4,0,0,0,0
G10318,Wimpassing an der Leitha,1070,815,806,9,225,188,229,54,63,24,18,2,3,0,0,0,0,0
