gkz_neu,name,gsrbetr,2010,2011,2012,2013,2014,2015,2016,2017,avg12_14,avg15_17,avg_diff
60101,Graz,Nein,746.01,681.72,695.89,704.18,706.32,675.3,686.39,684.71,702.1,682.1,-2.8
60305,Frauental an der Laßnitz,Nein,397.32,311.76,308.03,353.97,349.63,387.67,388.81,398.16,337.2,391.5,16.1
60318,Lannach,Nein,539.23,539.81,507.28,544.49,616.42,534.23,513,504.22,556.1,517.1,-7
60323,Pölfing-Brunn,Nein,522.83,469.02,492.75,515.79,503.05,473.96,484.11,499.43,503.9,485.8,-3.6
60324,Preding,Nein,511.64,468.54,514.26,484.25,539.06,629.04,615.74,622.73,512.5,622.5,21.5
60326,Sankt Josef (Weststeiermark),Nein,344.78,351.31,326.33,354.08,345.61,331.41,396.87,480.89,342,403.1,17.9
60329,Sankt Peter im Sulmtal,Nein,393.62,510.54,397.9,416.62,415.46,438.8,512.98,494.17,410,482,17.6
60341,Wettmannstätten,Nein,247.59,278.61,293.6,287.94,298.58,315.1,308.85,287.43,293.4,303.8,3.5
60344,Deutschlandsberg,Ja,664.45,660.85,678.64,655.57,663.78,891.69,712.92,741.84,666,782.2,17.4
60345,Eibiswald,Ja,361.47,348.19,373.93,363.87,448.95,592.86,434.63,440.69,395.6,489.4,23.7
60346,Groß Sankt Florian,Ja,347.8,306.61,367.31,307.3,341.87,466.19,401.27,382.54,338.8,416.7,23
60347,Sankt Martin im Sulmtal,Ja,233.27,247.55,488.47,384.51,279.4,342.86,499.88,697.26,384.1,513.3,33.6
60348,Sankt Stefan ob Stainz,Ja,322.52,325.12,361.74,397.52,491.09,440.49,435.61,423.49,416.8,433.2,3.9
60349,Schwanberg,Ja,346.77,333.55,348.55,347.71,359.15,358.38,453.19,489.6,351.8,433.7,23.3
60350,Stainz,Ja,484.62,490.4,502.46,493.21,485.48,552.27,617.49,561.5,493.7,577.1,16.9
60351,Wies,Ja,752.17,606.35,571.97,563.34,695.12,718.57,628.18,684.09,610.1,676.9,10.9
60608,Feldkirchen bei Graz,Nein,351.72,358.66,342.86,386.67,392.58,378.51,388.68,385.26,374,384.2,2.7
60611,Gössendorf,Nein,251.98,292.58,337.28,350.04,358.69,338.36,371.77,379.71,348.7,363.3,4.2
60613,Gratkorn,Nein,497.11,491.48,488.81,554.81,677.27,622.02,623.97,639.38,573.6,628.5,9.6
60617,Hart bei Graz,Nein,761.38,729.67,779.41,722.63,696.67,761.31,519.51,580.04,732.9,620.3,-15.4
60618,Haselsdorf-Tobelbad,Nein,171.84,174.92,176.75,212.93,211.1,282.2,239.26,233.87,200.3,251.8,25.7
60619,Hausmannstätten,Nein,380.24,378.48,371.81,413.25,403.12,417.22,395.29,458.24,396.1,423.6,6.9
60623,Kainbach bei Graz,Nein,258.14,242,245.92,239.59,280.28,272.17,255.08,235.99,255.3,254.4,-0.4
60624,Kalsdorf bei Graz,Nein,578.54,592.04,635.72,617.2,619.94,680.15,679.82,669.57,624.3,676.5,8.4
60626,Kumberg,Nein,272.86,283.57,292.59,282.46,306.19,312.41,335.37,310.52,293.7,319.4,8.8
60628,Laßnitzhöhe,Nein,838.15,500.79,485.03,480.29,482.07,474.7,460.57,497.05,482.5,477.4,-1.1
60629,Lieboch,Nein,436.62,448.21,470.1,488.61,506.79,483.47,472.6,539.93,488.5,498.7,2.1
60632,Peggau,Nein,400.15,663.57,346.57,360.46,438.34,368.35,351.39,444.63,381.8,388.1,1.7
60639,Sankt Bartholomä,Nein,331.46,337.63,287.11,356.97,316.86,360.36,333.38,361.32,320.3,351.7,9.8
60641,Sankt Oswald bei Plankenwarth,Nein,408.83,349.34,361.61,366.54,398.77,376.79,414.65,495.83,375.6,429.1,14.2
60642,Sankt Radegund bei Graz,Nein,298.08,351.78,375.8,397.83,626.72,905.38,434.14,425.23,466.8,588.2,26
60645,Semriach,Nein,303.82,333.98,353.78,381.86,348.79,353.65,336.65,332.16,361.5,340.8,-5.7
60646,Stattegg,Nein,397.22,546.3,403.33,411.08,380.27,379.79,399.14,408.07,398.2,395.7,-0.6
60647,Stiwoll,Nein,309.69,304.86,311.75,300.69,301.95,381.49,493.54,418.07,304.8,431,41.4
60648,Thal,Nein,381.72,371.92,382.17,472.37,410.7,412.51,453.62,423.29,421.7,429.8,1.9
60651,Übelbach,Nein,361.78,354.48,359.68,431.47,409.67,402.29,443.53,395.45,400.3,413.8,3.4
60653,Vasoldsberg,Nein,264.75,236.15,208.09,246.75,192.22,206.6,224.57,218.99,215.7,216.7,0.5
60654,Weinitzen,Nein,258.48,271.11,290.84,243.69,256.31,270.69,302.97,500.16,263.6,357.9,35.8
60655,Werndorf,Nein,517.52,568.97,503.46,534.14,531.11,564.08,578.7,587.62,522.9,576.8,10.3
60656,Wundschuh,Nein,305.2,299.86,321.89,352.45,372.69,394.23,388.09,515.92,349,432.7,24
60659,Deutschfeistritz,Ja,349.29,364.87,364.85,368.82,478.5,380.54,372.16,343.14,404.1,365.3,-9.6
60660,Dobl-Zwaring,Ja,279.42,308.67,317.37,410.15,366.2,392.22,401.2,393.74,364.6,395.7,8.5
60661,Eggersdorf bei Graz,Ja,320.88,322.27,346.09,351.43,379,339.28,361.88,588.8,358.8,430,19.8
60662,Fernitz-Mellach,Ja,417.7,427.94,421.57,457.99,559.43,489.75,538.55,511.39,479.7,513.2,7
