gkz,name,soll,sollprokopf
10101,Eisenstadt,0,0
10201,Rust,0,0
10301,Breitenbrunn am Neusiedler See,0,0
10302,Donnerskirchen,0,0
10303,Großhöflein,0,0
10304,Hornstein,0,0
10305,Klingenbach,0,0
10306,Leithaprodersdorf,0,0
10307,Mörbisch am See,0,0
10308,Müllendorf,0,0
10309,Neufeld an der Leitha,0,0
10310,Oggau am Neusiedler See,0,0
10311,Oslip,0,0
10312,Purbach am Neusiedler See,0,0
10313,Sankt Margarethen im Burgenland,0,0
10314,Schützen am Gebirge,0,0
10315,Siegendorf,0,0
10316,Steinbrunn,0,0
10317,Trausdorf an der Wulka,0,0
10318,Wimpassing an der Leitha,2310,1.55
10319,Wulkaprodersdorf,0,0
10320,Loretto,0,0
10321,Stotzing,0,0
10322,Zillingtal,0,0
10323,Zagersdorf,0,0
10401,Bocksdorf,0,0
10402,Burgauberg-Neudauberg,0,0
10403,Eberau,0,0
10404,Gerersdorf-Sulz,0,0
10405,Güssing,0,0
10406,Güttenbach,0,0
10407,Heiligenbrunn,0,0
10408,Kukmirn,0,0
10409,Neuberg im Burgenland,0,0
10410,Neustift bei Güssing,0,0
10411,Olbendorf,0,0
10412,Ollersdorf im Burgenland,0,0
10413,Sankt Michael im Burgenland,0,0
10414,Stegersbach,0,0
10415,Stinatz,0,0
10416,Strem,0,0
10417,Tobaj,0,0
10418,Hackerberg,0,0
10419,Wörterberg,0,0
10420,Großmürbisch,0,0
10421,Inzenhof,0,0
10422,Kleinmürbisch,0,0
10423,Tschanigraben,0,0
10424,Heugraben,0,0
10425,Rohr im Burgenland,0,0
10426,Bildein,0,0
10427,Rauchwart,0,0
10428,Moschendorf,0,0
10501,Deutsch Kaltenbrunn,0,0
10502,Eltendorf,0,0
10503,Heiligenkreuz im Lafnitztal,0,0
10504,Jennersdorf,0,0
10505,Minihof-Liebau,0,0
10506,Mogersdorf,0,0
10507,Neuhaus am Klausenbach,0,0
10508,Rudersdorf,0,0
10509,Sankt Martin an der Raab,0,0
10510,Weichselbaum,0,0
10511,Königsdorf,0,0
10512,Mühlgraben,0,0
10601,Draßburg,0,0
10602,Forchtenstein,0,0
10603,Hirm,0,0
10604,Loipersbach im Burgenland,0,0
10605,Marz,0,0
10606,Mattersburg,0,0
10607,Neudörfl,0,0
10608,Pöttelsdorf,0,0
10609,Pöttsching,0,0
10610,Rohrbach bei Mattersburg,0,0
10611,Bad Sauerbrunn,0,0
10612,Schattendorf,0,0
10613,Sieggraben,0,0
10614,Sigleß,0,0
10615,Wiesen,0,0
10616,Antau,0,0
10617,Baumgarten,0,0
10618,Zemendorf-Stöttera,0,0
10619,Krensdorf,0,0
10701,Andau,0,0
10702,Apetlon,0,0
10703,Bruckneudorf,0,0
10704,Deutsch Jahrndorf,0,0
10705,Frauenkirchen,0,0
10706,Gattendorf,0,0
10707,Gols,0,0
10708,Halbturn,0,0
10709,Illmitz,0,0
10710,Jois,0,0
10711,Kittsee,0,0
10712,Mönchhof,0,0
10713,Neusiedl am See,0,0
10714,Nickelsdorf,0,0
10715,Pama,0,0
10716,Pamhagen,0,0
10717,Parndorf,0,0
10718,Podersdorf am See,0,0
10719,Sankt Andrä am Zicksee,0,0
10720,Tadten,0,0
10721,Wallern im Burgenland,0,0
10722,Weiden am See,0,0
10723,Winden am See,0,0
10724,Zurndorf,0,0
10725,Neudorf,0,0
10726,Potzneusiedl,0,0
10727,Edelstal,0,0
10801,Deutschkreutz,0,0
10802,Draßmarkt,0,0
10803,Frankenau-Unterpullendorf,0,0
10804,Großwarasdorf,0,0
10805,Horitschon,0,0
10806,Kaisersdorf,0,0
10807,Kobersdorf,0,0
10808,Lackenbach,0,0
10809,Lockenhaus,0,0
10810,Lutzmannsburg,0,0
10811,Mannersdorf an der Rabnitz,0,0
10812,Markt Sankt Martin,0,0
10813,Neckenmarkt,0,0
10814,Neutal,0,0
10815,Nikitsch,0,0
