gkz_neu,name,gsrbetr,2012,2013,2014,2015,2016,2017,avg12_14,avg15_17,avg_diff,avg11_12,avg16_17,avg_diff_12_17
60101,Graz,Nein,689.85,698.67,699.45,667.01,680.88,678.57,696,675.5,-2.9,680.1,679.7,-0.1
60305,Frauental an der Laßnitz,Nein,308.03,350.73,344.51,380.75,375.19,380.94,334.4,379,13.3,307.3,378.1,23
60318,Lannach,Nein,486.38,520.01,492.12,523.46,496.28,499.03,499.5,506.3,1.4,505.9,497.7,-1.6
60323,Pölfing-Brunn,Nein,492.75,515.79,503.05,473.96,484.11,499.43,503.9,485.8,-3.6,480.9,491.8,2.3
60324,Preding,Nein,488.51,484.25,539.06,597.53,592.27,593.81,503.9,594.5,18,478.5,593,23.9
60326,Sankt Josef (Weststeiermark),Nein,326.33,343.27,330.02,330.85,323.59,310.33,333.2,321.6,-3.5,338.8,317,-6.4
60329,Sankt Peter im Sulmtal,Nein,393.3,416.62,411.08,419.74,460.1,463.21,407,447.7,10,406.5,461.7,13.6
60341,Wettmannstätten,Nein,280.26,287.94,298.58,315.1,308.85,283.43,288.9,302.5,4.7,275.3,296.1,7.6
60344,Deutschlandsberg,Ja,657.73,642.95,659.34,879.39,687.08,701.23,653.3,755.9,15.7,643.5,694.2,7.9
60345,Eibiswald,Ja,338.11,343.58,399.19,546.32,430.58,422.2,360.3,466.4,29.4,333.2,426.4,28
60346,Groß Sankt Florian,Ja,297.83,307.3,341.87,379.06,378.54,367.27,315.7,375,18.8,300.7,372.9,24
60347,Sankt Martin im Sulmtal,Ja,253.17,262.65,278.34,331.17,284.68,322.92,264.7,312.9,18.2,247.9,303.8,22.5
60348,Sankt Stefan ob Stainz,Ja,348.36,397.52,413.49,435.44,424.41,416.24,386.5,425.4,10.1,335,420.3,25.5
60349,Schwanberg,Ja,311.99,318.62,352.34,357.11,414.82,449.13,327.7,407,24.2,312.4,432,38.3
60350,Stainz,Ja,441.14,480.46,480.73,512.92,519.18,513.98,467.4,515.4,10.3,453.8,516.6,13.8
60351,Wies,Ja,527.7,527.33,566.96,663.22,553.13,565.06,540.7,593.8,9.8,520,559.1,7.5
60608,Feldkirchen bei Graz,Nein,342.86,386.67,373.59,356.35,372.35,359.39,367.7,362.7,-1.4,344.4,365.9,6.2
60611,Gössendorf,Nein,337.28,350.04,358.69,338.36,371.77,372.28,348.7,360.8,3.5,303.3,372,22.7
60613,Gratkorn,Nein,488.81,554.81,677.27,613.72,599.36,620.11,573.6,611.1,6.5,490.1,609.7,24.4
60617,Hart bei Graz,Nein,728.86,719.23,694.64,740.83,518.77,505.87,714.2,588.5,-17.6,707.8,512.3,-27.6
60618,Haselsdorf-Tobelbad,Nein,176.75,212.93,211.1,232.31,239.26,233.87,200.3,235.1,17.4,175.8,236.6,34.6
60619,Hausmannstätten,Nein,371.81,413.25,403.12,417.22,395.29,458.24,396.1,423.6,6.9,375.1,426.8,13.8
60623,Kainbach bei Graz,Nein,226.68,226.2,249.46,251.93,254.77,235.91,234.1,247.5,5.7,234.3,245.3,4.7
60624,Kalsdorf bei Graz,Nein,623.42,612.22,602.37,680.15,679.82,648.98,612.7,669.6,9.3,607.7,664.4,9.3
60626,Kumberg,Nein,292.59,282.46,306.19,312.41,320.75,302.76,293.7,312,6.2,288.1,311.8,8.2
60628,Laßnitzhöhe,Nein,476.71,466.84,467.74,474.7,459.33,497.05,470.4,477,1.4,456.4,478.2,4.8
