wahl,gkz,name,gsrbetr,key,2010,2015,diff_pct,gemraete_2010,gemraete_2015
ltw,60305,Frauental an der Laßnitz,Nein,wahleinfluss,0.006206040546131568,0.006347862886161659,2.2852306390181987,15,15
ltw,60318,Lannach,Nein,wahleinfluss,0.007757665312153676,0.0076670317634173054,-1.1683096020445483,21,21
ltw,60323,Pölfing-Brunn,Nein,wahleinfluss,0.01060070671378092,0.010783608914450037,1.7253774263120025,15,15
ltw,60324,Preding,Nein,wahleinfluss,0.010668563300142247,0.010402219140083218,-2.49653259361996,15,15
ltw,60326,Sankt Josef (Weststeiermark),Nein,wahleinfluss,0.013123359580052493,0.012594458438287154,-4.030226700251882,15,15
ltw,60329,Sankt Peter im Sulmtal,Nein,wahleinfluss,0.013774104683195593,0.013477088948787063,-2.156334231805923,15,15
ltw,60341,Wettmannstätten,Nein,wahleinfluss,0.012,0.011737089201877934,-2.1909233176838905,15,15
ltw,60344,Deutschlandsberg,Ja,wahleinfluss,0.008217104551843442,0.003344120819848975,-59.30292965423267,76,31
ltw,60345,Eibiswald,Ja,wahleinfluss,0.013703443429374561,0.00451997830410414,-67.01574806799901,78,25
ltw,60346,Groß Sankt Florian,Ja,wahleinfluss,0.008363534987454697,0.006017191977077364,-28.054441260744976,30,21
ltw,60347,Sankt Martin im Sulmtal,Ja,wahleinfluss,0.011189854531891086,0.008073817762399077,-27.846981930026928,30,21
ltw,60348,Sankt Stefan ob Stainz,Ja,wahleinfluss,0.012888301387970919,0.0070234113712374585,-45.505531258039625,39,21
ltw,60349,Schwanberg,Ja,wahleinfluss,0.01176759009561167,0.00546448087431694,-53.563296903460845,48,21
ltw,60350,Stainz,Ja,wahleinfluss,0.012221737232649499,0.003548112404200965,-70.9688374356271,84,25
ltw,60351,Wies,Ja,wahleinfluss,0.01102072946733141,0.005686433793663688,-48.40238288654211,42,21
ltw,60608,Feldkirchen bei Graz,Nein,wahleinfluss,0.005976571838393498,0.005745805561939784,-3.8611813376235316,25,25
ltw,60611,Gössendorf,Nein,wahleinfluss,0.007177033492822967,0.006937561942517344,-3.3366369342583413,21,21
ltw,60613,Gratkorn,Nein,wahleinfluss,0.004209462872537464,0.004048582995951417,-3.821862348178129,25,25
ltw,60617,Hart bei Graz,Nein,wahleinfluss,0.005900533857825232,0.0057439824945295405,-2.653172866520792,21,21
ltw,60618,Haselsdorf-Tobelbad,Nein,wahleinfluss,0.013686131386861315,0.013550135501355014,-0.9936766034327027,15,15
ltw,60619,Hausmannstätten,Nein,wahleinfluss,0.00651890482398957,0.006329113924050633,-2.9113924050632956,15,15
ltw,60623,Kainbach bei Graz,Nein,wahleinfluss,0.006843065693430657,0.0066166740185266875,-3.30833700926334,15,15
ltw,60624,Kalsdorf bei Graz,Nein,wahleinfluss,0.005652272213429799,0.005451373746184038,-3.5542956825119987,25,25
ltw,60626,Kumberg,Nein,wahleinfluss,0.007407407407407408,0.00702576112412178,-5.152224824355978,21,21
ltw,60628,Laßnitzhöhe,Nein,wahleinfluss,0.006781193490054249,0.006808896958692692,0.4085338175215725,15,15
ltw,60629,Lieboch,Nein,wahleinfluss,0.005649717514124294,0.005348955680081508,-5.323484462557304,21,21
ltw,60632,Peggau,Nein,wahleinfluss,0.009085402786190187,0.008849557522123894,-2.59587020648967,15,15
ltw,60639,Sankt Bartholomä,Nein,wahleinfluss,0.013321492007104795,0.013134851138353765,-1.4010507880910628,15,15
ltw,60641,Sankt Oswald bei Plankenwarth,Nein,wahleinfluss,0.015479876160990712,0.01447876447876448,-6.46718146718146,15,15
ltw,60642,Sankt Radegund bei Graz,Nein,wahleinfluss,0.00906344410876133,0.008726003490401396,-3.7230948225712712,15,15
ltw,60645,Semriach,Nein,wahleinfluss,0.008092485549132947,0.008098727342846125,0.07713073659854075,21,21
ltw,60646,Stattegg,Nein,wahleinfluss,0.0068997240110395585,0.006666666666666667,-3.3777777777777684,15,15
ltw,60647,Stiwoll,Nein,wahleinfluss,0.015306122448979591,0.014950166112956811,-2.3255813953488302,9,9
ltw,60648,Thal,Nein,wahleinfluss,0.008465011286681716,0.008542141230068337,0.9111617312072884,15,15
ltw,60651,Übelbach,Nein,wahleinfluss,0.008928571428571428,0.008912655971479501,-0.17825311942958333,15,15
ltw,60653,Vasoldsberg,Nein,wahleinfluss,0.006152944623498389,0.005908835115362971,-3.9673607203151384,21,21
ltw,60654,Weinitzen,Nein,wahleinfluss,0.007246376811594203,0.007062146892655367,-2.5423728813559365,15,15
ltw,60655,Werndorf,Nein,wahleinfluss,0.008726003490401396,0.00859106529209622,-1.546391752577314,15,15
ltw,60656,Wundschuh,Nein,wahleinfluss,0.0125,0.012315270935960592,-1.4778325123152691,15,15
ltw,60659,Deutschfeistritz,Ja,wahleinfluss,0.008973975471133712,0.006377163680534467,-28.93713938657758,30,21
ltw,60660,Dobl-Zwaring,Ja,wahleinfluss,0.011746280344557557,0.008018327605956471,-31.737304314623916,30,21
ltw,60661,Eggersdorf bei Graz,Ja,wahleinfluss,0.01168679392286716,0.004829984544049459,-58.6714322514168,60,25
ltw,60662,Fernitz-Mellach,Ja,wahleinfluss,0.010061486864169928,0.005564387917329093,-44.696166754990294,36,21
ltw,60663,Frohnleiten,Ja,wahleinfluss,0.007645803698435277,0.004517528008673654,-40.91493599818459,43,25
ltw,60664,Gratwein-Straßengel,Ja,wahleinfluss,0.007531463680507383,0.003035941631573793,-59.68988552077481,76,31
ltw,60665,Hitzendorf,Ja,wahleinfluss,0.009089288896809837,0.0044014084507042256,-51.57587682960507,51,25
